id			last val		val acc		test acc
0.28_0.34_6.10e+00_7.32e-04_1.88e-01__139			0.092959		0.770000		0.765000
0.28_0.34_6.10e+00_7.32e-04_1.70e+00__993			0.169747		0.350000		0.341667
0.28_0.34_6.10e+00_7.32e-04_1.13e-02__285			0.021381		0.958333		0.961667
0.28_0.34_6.10e+00_7.32e-04_8.47e-02__949			0.090639		0.775000		0.770000
0.28_0.34_6.10e+00_7.32e-04_7.21e-02__1048			0.065881		0.851667		0.806667
0.28_0.34_6.10e+00_7.32e-04_2.79e-04__309			0.021744		0.953333		0.935000
0.28_0.34_6.10e+00_7.32e-04_1.41e-01__710			0.094682		0.776667		0.763333
0.28_0.34_6.10e+00_7.32e-04_6.82e-01__1928			0.173366		0.488333		0.511667
0.28_0.34_6.10e+00_7.32e-04_9.66e+00__1229			nan		0.326667		0.363333
0.28_0.34_6.10e+00_7.32e-04_1.17e+00__1769			0.149555		0.625000		0.646667
0.28_0.34_6.10e+00_7.32e-04_1.73e-02__1497			0.021044		0.973333		0.985000
0.28_0.34_6.10e+00_7.32e-04_3.37e-02__337			0.023441		0.960000		0.963333
0.28_0.34_6.10e+00_7.32e-04_1.36e-02__880			0.024484		0.980000		0.971667
0.28_0.34_6.10e+00_7.32e-04_8.05e-04__14			0.033711		0.956667		0.961667
0.28_0.34_6.10e+00_7.32e-04_1.89e-03__320			0.020912		0.966667		0.960000
0.28_0.34_6.10e+00_7.32e-04_5.98e-03__388			0.023179		0.968333		0.975000
0.28_0.34_6.10e+00_7.32e-04_9.66e+00__1225			nan		0.326667		0.350000
0.28_0.34_6.10e+00_7.32e-04_4.88e-01__64			0.121219		0.571667		0.606667
0.28_0.34_6.10e+00_7.32e-04_2.30e-02__892			0.034254		0.970000		0.955000
0.28_0.34_6.10e+00_7.32e-04_2.10e-02__1439			0.036580		0.925000		0.913333
0.28_0.34_6.10e+00_7.32e-04_9.75e-01__1708			0.139929		0.543333		0.581667
0.28_0.34_6.10e+00_7.32e-04_4.82e-02__863			0.050638		0.916667		0.906667
0.28_0.34_6.10e+00_7.32e-04_2.91e-01__609			0.127446		0.746667		0.765000
0.28_0.34_6.10e+00_7.32e-04_9.51e-02__342			0.086688		0.866667		0.830000
0.28_0.34_6.10e+00_7.32e-04_2.88e+00__262			0.183451		0.375000		0.363333
0.28_0.34_6.10e+00_7.32e-04_2.56e-01__80			0.080035		0.830000		0.810000
0.28_0.34_6.10e+00_7.32e-04_5.47e-02__28			0.045157		0.935000		0.911667
0.28_0.34_6.10e+00_7.32e-04_5.16e-02__740			0.031333		0.950000		0.935000
0.28_0.34_6.10e+00_7.32e-04_1.42e-03__1398			0.026586		0.955000		0.968333
0.28_0.34_6.10e+00_7.32e-04_8.05e-04__17			0.015461		0.975000		0.976667
0.28_0.34_6.10e+00_7.32e-04_1.62e-01__1389			0.096548		0.760000		0.751667
0.28_0.34_6.10e+00_7.32e-04_5.28e-02__554			0.068871		0.845000		0.860000
0.28_0.34_6.10e+00_7.32e-04_2.24e-04__55			0.023970		0.965000		0.960000
0.28_0.34_6.10e+00_7.32e-04_1.21e-03__1826			0.018609		0.978333		0.976667
0.28_0.34_6.10e+00_7.32e-04_1.85e-03__1279			0.020277		0.965000		0.955000
0.28_0.34_6.10e+00_7.32e-04_1.11e+00__767			0.138651		0.661667		0.668333
0.28_0.34_6.10e+00_7.32e-04_3.44e-03__1299			0.024894		0.945000		0.935000
0.28_0.34_6.10e+00_7.32e-04_9.33e+00__171			nan		0.308333		0.326667
0.28_0.34_6.10e+00_7.32e-04_2.05e-02__463			0.030134		0.958333		0.961667
0.28_0.34_6.10e+00_7.32e-04_8.63e-04__655			0.018199		0.963333		0.955000
0.28_0.34_6.10e+00_7.32e-04_1.89e-03__322			0.040467		0.978333		0.980000
0.28_0.34_6.10e+00_7.32e-04_9.06e-03__1988			0.026427		0.970000		0.975000
0.28_0.34_6.10e+00_7.32e-04_4.88e-01__60			0.119601		0.741667		0.725000
0.28_0.34_6.10e+00_7.32e-04_2.58e-02__924			0.046998		0.945000		0.948333
0.28_0.34_6.10e+00_7.32e-04_1.05e-01__622			0.117720		0.633333		0.588333
0.28_0.34_6.10e+00_7.32e-04_3.37e-02__334			0.057863		0.906667		0.923333
0.28_0.34_6.10e+00_7.32e-04_4.88e-01__65			0.117777		0.716667		0.740000
0.28_0.34_6.10e+00_7.32e-04_4.88e-01__69			0.122750		0.671667		0.703333
0.28_0.34_6.10e+00_7.32e-04_4.09e-03__572			0.031894		0.978333		0.985000
0.28_0.34_6.10e+00_7.32e-04_7.65e-01__1878			0.177655		0.503333		0.526667
0.28_0.34_6.10e+00_7.32e-04_8.30e-01__1805			0.128760		0.796667		0.780000
0.28_0.34_6.10e+00_7.32e-04_1.70e+00__999			0.161431		0.526667		0.558333
0.28_0.34_6.10e+00_7.32e-04_4.01e-02__1104			0.053672		0.918333		0.930000
0.28_0.34_6.10e+00_7.32e-04_1.75e-02__1300			0.023731		0.973333		0.961667
0.28_0.34_6.10e+00_7.32e-04_4.33e-03__1838			0.030032		0.956667		0.961667
0.28_0.34_6.10e+00_7.32e-04_4.34e-02__210			0.032378		0.958333		0.948333
